ts,series_id,value
2025-05-06T22:15:00+05:30,demand_mw,5033.75
2025-05-06T22:30:00+05:30,demand_mw,5042.3
2025-05-06T22:45:00+05:30,demand_mw,5011.67
2025-05-06T23:00:00+05:30,demand_mw,4957.55
2025-05-06T23:15:00+05:30,demand_mw,4887.39
2025-05-06T23:30:00+05:30,demand_mw,4761.56
2025-05-06T23:45:00+05:30,demand_mw,4635.72
2025-05-07T00:00:00+05:30,demand_mw,4557.58
2025-05-07T00:15:00+05:30,demand_mw,4485.79
2025-05-07T00:30:00+05:30,demand_mw,4402.04
2025-05-07T00:45:00+05:30,demand_mw,4328.32
2025-05-07T01:00:00+05:30,demand_mw,4262.39
2025-05-07T01:15:00+05:30,demand_mw,4201.25
2025-05-07T01:30:00+05:30,demand_mw,4134.8
2025-05-07T01:45:00+05:30,demand_mw,4084.63
2025-05-07T02:00:00+05:30,demand_mw,4022.77
2025-05-07T02:15:00+05:30,demand_mw,3964.7
2025-05-07T02:30:00+05:30,demand_mw,3919.69
2025-05-07T02:45:00+05:30,demand_mw,3883.02
2025-05-07T03:00:00+05:30,demand_mw,3844.91
2025-05-07T03:15:00+05:30,demand_mw,3803.61
2025-05-07T03:30:00+05:30,demand_mw,3771.71
2025-05-07T03:45:00+05:30,demand_mw,3738.79
2025-05-07T04:00:00+05:30,demand_mw,3713.13
2025-05-07T04:15:00+05:30,demand_mw,3725.16
2025-05-07T04:30:00+05:30,demand_mw,3720.14
2025-05-07T04:45:00+05:30,demand_mw,3705.9
2025-05-07T05:00:00+05:30,demand_mw,3710.88
2025-05-07T05:15:00+05:30,demand_mw,3725.67
2025-05-07T05:30:00+05:30,demand_mw,3718.28
2025-05-07T05:45:00+05:30,demand_mw,3721.54
2025-05-07T06:00:00+05:30,demand_mw,3739.3
2025-05-07T06:15:00+05:30,demand_mw,3756.06
2025-05-07T06:30:00+05:30,demand_mw,3761.8
2025-05-07T06:45:00+05:30,demand_mw,3709.03
2025-05-07T07:00:00+05:30,demand_mw,3678.86
2025-05-07T07:15:00+05:30,demand_mw,3630.21
2025-05-07T07:30:00+05:30,demand_mw,3586.63
2025-05-07T07:45:00+05:30,demand_mw,3543.0
2025-05-07T08:00:00+05:30,demand_mw,3523.06
2025-05-07T08:15:00+05:30,demand_mw,3488.49
2025-05-07T08:30:00+05:30,demand_mw,3485.59
2025-05-07T08:45:00+05:30,demand_mw,3497.22
2025-05-07T09:00:00+05:30,demand_mw,3535.1
2025-05-07T09:15:00+05:30,demand_mw,3596.12
2025-05-07T09:30:00+05:30,demand_mw,3637.63
2025-05-07T09:45:00+05:30,demand_mw,3678.35
2025-05-07T10:00:00+05:30,demand_mw,3707.62
2025-05-07T10:15:00+05:30,demand_mw,3737.19
2025-05-07T10:30:00+05:30,demand_mw,3724.48
2025-05-07T10:45:00+05:30,demand_mw,3731.42
2025-05-07T11:00:00+05:30,demand_mw,3732.2
2025-05-07T11:15:00+05:30,demand_mw,3755.59
2025-05-07T11:30:00+05:30,demand_mw,3771.91
2025-05-07T11:45:00+05:30,demand_mw,3753.22
2025-05-07T12:00:00+05:30,demand_mw,3771.12
2025-05-07T12:15:00+05:30,demand_mw,3799.02
2025-05-07T12:30:00+05:30,demand_mw,3828.92
2025-05-07T12:45:00+05:30,demand_mw,3842.43
2025-05-07T13:00:00+05:30,demand_mw,3822.95
2025-05-07T13:15:00+05:30,demand_mw,3875.33
2025-05-07T13:30:00+05:30,demand_mw,3890.46
2025-05-07T13:45:00+05:30,demand_mw,3956.73
2025-05-07T14:00:00+05:30,demand_mw,4070.4
2025-05-07T14:15:00+05:30,demand_mw,4188.71
2025-05-07T14:30:00+05:30,demand_mw,4298.56
2025-05-07T14:45:00+05:30,demand_mw,4316.65
2025-05-07T15:00:00+05:30,demand_mw,4327.57
2025-05-07T15:15:00+05:30,demand_mw,4399.87
2025-05-07T15:30:00+05:30,demand_mw,4420.14
2025-05-07T15:45:00+05:30,demand_mw,4452.05
2025-05-07T16:00:00+05:30,demand_mw,4301.66
2025-05-07T16:15:00+05:30,demand_mw,4344.08
2025-05-07T16:30:00+05:30,demand_mw,4346.28
2025-05-07T16:45:00+05:30,demand_mw,4365.96
2025-05-07T17:00:00+05:30,demand_mw,4311.68
2025-05-07T17:15:00+05:30,demand_mw,4247.18
2025-05-07T17:30:00+05:30,demand_mw,4191.65
2025-05-07T17:45:00+05:30,demand_mw,4167.95
2025-05-07T18:00:00+05:30,demand_mw,4152.47
2025-05-07T18:15:00+05:30,demand_mw,4176.72
2025-05-07T18:30:00+05:30,demand_mw,4326.46
2025-05-07T18:45:00+05:30,demand_mw,4491.13
2025-05-07T19:00:00+05:30,demand_mw,4584.37
